name,gscreen_pistacking0,gscreen_hydrogenbonding0,gscreen_hydrogenbonding1,gscreen_hydrogenbonding2,gscreen_hydrogenbonding3,gscreen_hydrogenbonding4,gscreen_hydrogenbonding5,gscreen_hydrogenbonding6,gscreen_hydrogenbonding7,gscreen_hydrogenbonding8,gscreen_hydrogenbonding9,pharma_score,shape_score,tani_sim
C40538123,1,0,1,0,1,1,0,1,0,1,0,0.5454545454545455,0.6769,0.05128205128205128
C61090071,0,1,1,1,1,1,0,1,0,0,0,0.5454545454545455,0.6968,0.11904761904761904
C41224233,0,1,1,1,0,0,0,1,0,1,0,0.4545454545454546,0.6612,0.06666666666666667
C40347141,0,1,1,1,0,0,0,1,1,0,0,0.4545454545454546,0.6676,0.08333333333333333
C44887121,0,0,1,1,0,0,0,1,1,0,1,0.4545454545454546,0.6922,0.06896551724137931
C07871734,1,0,0,0,1,0,0,1,1,0,0,0.36363636363636365,0.6957,0.08536585365853659
C35341136,1,0,1,0,0,0,0,1,1,0,0,0.36363636363636365,0.7276,0.10256410256410256
C48498709,1,0,0,1,0,0,0,1,1,0,0,0.36363636363636365,0.6415,0.05063291139240506
C48916862,0,0,0,0,0,1,0,1,1,1,0,0.36363636363636365,0.6154,0.06593406593406594
C45277280,0,0,0,0,1,0,1,1,1,0,0,0.36363636363636365,0.588,0.05063291139240506
C61888050,0,0,0,0,1,1,0,0,0,1,1,0.36363636363636365,0.6664,0.07865168539325842
C50703186,0,0,0,1,0,0,0,1,0,1,0,0.2727272727272727,0.6562,0.07407407407407407
C42489489,0,1,1,1,0,0,0,0,0,0,0,0.2727272727272727,0.5491,0.0875
C29666828,0,0,0,0,1,0,0,1,0,1,0,0.2727272727272727,0.661,0.05952380952380952
C29007665,0,0,0,1,0,0,0,0,1,1,0,0.2727272727272727,0.7238,0.06097560975609756
C62779793,0,0,1,0,0,0,0,1,1,0,0,0.2727272727272727,0.6415,0.05813953488372093
C09358723,1,0,1,0,0,0,0,0,0,0,1,0.2727272727272727,0.6253,0.0625
C39373558,0,0,0,0,1,0,0,0,1,1,0,0.2727272727272727,0.7275,0.07865168539325842
C40521024,0,0,0,0,0,1,0,1,1,0,0,0.2727272727272727,0.5802,0.05747126436781609
C20757204,1,0,0,0,0,0,0,1,1,0,0,0.2727272727272727,0.7351,0.10416666666666667
C56376422,1,0,0,0,0,0,0,1,1,0,0,0.2727272727272727,0.5693,0.034482758620689655
C62947394,1,0,0,0,0,0,0,0,1,0,1,0.2727272727272727,0.5783,0.09859154929577464
C07436552,0,0,0,0,0,0,0,1,1,1,0,0.2727272727272727,0.5595,0.07317073170731707
C65780364,1,0,0,0,1,0,0,1,0,0,0,0.2727272727272727,0.7787,0.0594059405940594
C43407176,1,0,0,0,0,0,0,1,1,0,0,0.2727272727272727,0.6875,0.08602150537634409
C35383022,1,0,0,0,0,0,1,0,1,0,0,0.2727272727272727,0.7308,0.12941176470588237
C62935144,0,0,0,0,0,0,0,1,2,0,0,0.2727272727272727,0.6415,0.07692307692307693
C39098275,1,0,0,0,0,0,1,0,0,1,0,0.2727272727272727,0.599,0.06756756756756757
C45921818,1,0,0,0,0,0,0,1,0,0,1,0.2727272727272727,0.5634,0.1111111111111111
C31157024,0,0,1,0,1,0,0,0,0,0,1,0.2727272727272727,0.6651,0.10843373493975904
C17195718,0,0,0,0,0,0,0,0,1,0,1,0.18181818181818182,0.7095,0.07058823529411765
C01745370,0,0,0,0,0,0,0,0,0,2,0,0.18181818181818182,0.6437,0.056818181818181816
C26835964,0,1,0,1,0,0,0,0,0,0,0,0.18181818181818182,0.7445,0.07954545454545454
C42844328,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.5637,0.05128205128205128
C49378563,1,0,1,0,0,0,0,0,0,0,0,0.18181818181818182,0.6721,0.058823529411764705
C64428957,0,0,1,0,0,0,0,1,0,0,0,0.18181818181818182,0.7152,0.06896551724137931
C52044168,0,0,0,0,0,0,0,0,0,2,0,0.18181818181818182,0.4994,0.06666666666666667
C20610273,1,0,0,1,0,0,0,0,0,0,0,0.18181818181818182,0.7194,0.06521739130434782
C51116189,0,0,0,0,0,0,0,1,0,1,0,0.18181818181818182,0.6812,0.06976744186046512
C44846188,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.5827,0.05
C35161505,0,0,0,0,0,0,0,0,1,0,1,0.18181818181818182,0.6742,0.05747126436781609
C58839473,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.6924,0.06329113924050633
C58845222,0,0,0,0,0,1,0,0,1,0,0,0.18181818181818182,0.6515,0.06756756756756757
C49162766,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.5463,0.06976744186046512
C52007286,1,0,0,0,0,0,1,0,0,0,0,0.18181818181818182,0.6946,0.12195121951219512
C37656714,0,0,0,0,0,1,0,0,0,0,1,0.18181818181818182,0.5591,0.058823529411764705
C20254731,1,0,1,0,0,0,0,0,0,0,0,0.18181818181818182,0.6623,0.07058823529411765
C04534953,0,0,0,0,1,1,0,0,0,0,0,0.18181818181818182,0.457,0.038461538461538464
C47126290,1,0,0,0,0,0,0,0,1,0,0,0.18181818181818182,0.7734,0.06451612903225806
C37486863,0,0,0,0,1,0,0,0,1,0,0,0.18181818181818182,0.662,0.09195402298850575
C15443024,0,0,0,1,0,0,0,0,1,0,0,0.18181818181818182,0.5764,0.06329113924050633
C40566481,0,0,0,0,1,1,0,0,0,0,0,0.18181818181818182,0.5918,0.09876543209876543
C42813866,0,0,1,0,0,0,0,0,0,1,0,0.18181818181818182,0.7206,0.10465116279069768
C50394778,1,0,0,0,0,0,0,0,1,0,0,0.18181818181818182,0.7579,0.07142857142857142
C36214102,0,0,0,0,0,0,0,0,1,1,0,0.18181818181818182,0.5557,0.047619047619047616
