Query name                     Template name                       Score
C40481833                      NOC_434_1LI4                       0.5825
C35453269                      NOC_434_1LI4                       0.7055
C56375364                      NOC_434_1LI4                       0.7016
C49468006                      NOC_434_1LI4                       0.5104
C40378591                      NOC_434_1LI4                       0.6926
C64788355                      NOC_434_1LI4                       0.7092
C61718440                      NOC_434_1LI4                       0.7807
C36234046                      NOC_434_1LI4                       0.5916
C63209116                      NOC_434_1LI4                       0.6799
C41804806                      NOC_434_1LI4                       0.5558
C36962731                      NOC_434_1LI4                       0.5417
C62948138                      NOC_434_1LI4                       0.6620
C50244760                      NOC_434_1LI4                       0.6525
C42305187                      NOC_434_1LI4                       0.6425
C03838719                      NOC_434_1LI4                       0.6384
C64429118                      NOC_434_1LI4                       0.6946
C37333538                      NOC_434_1LI4                       0.7241
C13581980                      NOC_434_1LI4                       0.5245
C41834205                      NOC_434_1LI4                       0.5072
C40538147                      NOC_434_1LI4                       0.4732
C04357816                      NOC_434_1LI4                       0.7919
C59422706                      NOC_434_1LI4                       0.3717
C44977239                      NOC_434_1LI4                       0.6866
C14265814                      NOC_434_1LI4                       0.7353
C65181723                      NOC_434_1LI4                       0.7155
C39109108                      NOC_434_1LI4                       0.5471
C30342867                      NOC_434_1LI4                       0.5816
C44933122                      NOC_434_1LI4                       0.5821
C44021117                      NOC_434_1LI4                       0.4341
C13361306                      NOC_434_1LI4                       0.6822
C62808496                      NOC_434_1LI4                       0.6147
C49126817                      NOC_434_1LI4                       0.6185
C39559592                      NOC_434_1LI4                       0.6583
C65623338                      NOC_434_1LI4                       0.6997
C42430401                      NOC_434_1LI4                       0.5921
C39464672                      NOC_434_1LI4                       0.6195
C49540301                      NOC_434_1LI4                       0.5447
C50244469                      NOC_434_1LI4                       0.6219
C06022543                      NOC_434_1LI4                       0.6785
C39363586                      NOC_434_1LI4                       0.4921
C49183774                      NOC_434_1LI4                       0.5877
C49054145                      NOC_434_1LI4                       0.6996
C09016069                      NOC_434_1LI4                       0.6469
C44861403                      NOC_434_1LI4                       0.5911
C40381597                      NOC_434_1LI4                       0.6657
C58841020                      NOC_434_1LI4                       0.5769
C51995697                      NOC_434_1LI4                       0.6316
C37552196                      NOC_434_1LI4                       0.6582
C66151686                      NOC_434_1LI4                       0.5313
C50244591                      NOC_434_1LI4                       0.6402
C52096733                      NOC_434_1LI4                       0.6793
C04353442                      NOC_434_1LI4                       0.6569
C50323346                      NOC_434_1LI4                       0.6479
C42375394                      NOC_434_1LI4                       0.5401
C04810783                      NOC_434_1LI4                       0.5545
C55172233                      NOC_434_1LI4                       0.6512
C40382119                      NOC_434_1LI4                       0.6809
C22165734                      NOC_434_1LI4                       0.5814
C54458039                      NOC_434_1LI4                       0.5611
C56476256                      NOC_434_1LI4                       0.6201
C08580591                      NOC_434_1LI4                       0.6648
C50397950                      NOC_434_1LI4                       0.6408
C47968227                      NOC_434_1LI4                       0.6489
C32579492                      NOC_434_1LI4                       0.6244
C44882706                      NOC_434_1LI4                       0.5645
C44977273                      NOC_434_1LI4                       0.6658
C36338079                      NOC_434_1LI4                       0.5947
C17142029                      NOC_434_1LI4                       0.6768
C57769912                      NOC_434_1LI4                       0.7612
C15566326                      NOC_434_1LI4                       0.6578
C41081184                      NOC_434_1LI4                       0.7450
C48950733                      NOC_434_1LI4                       0.6427
C37244658                      NOC_434_1LI4                       0.6170
C62242933                      NOC_434_1LI4                       0.6899
C48950492                      NOC_434_1LI4                       0.6518
C37450213                      NOC_434_1LI4                       0.6021
C62832743                      NOC_434_1LI4                       0.7475
C60415077                      NOC_434_1LI4                       0.7061
C29979186                      NOC_434_1LI4                       0.7523
C63173561                      NOC_434_1LI4                       0.6476
C49276118                      NOC_434_1LI4                       0.6242
C37796956                      NOC_434_1LI4                       0.5352
C62935474                      NOC_434_1LI4                       0.5870
C49467611                      NOC_434_1LI4                       0.6222
C37586579                      NOC_434_1LI4                       0.5749
C04297077                      NOC_434_1LI4                       0.6378
C63329353                      NOC_434_1LI4                       0.7156
C46904672                      NOC_434_1LI4                       0.6747
C66135192                      NOC_434_1LI4                       0.6648
C53850971                      NOC_434_1LI4                       0.7001
C40481618                      NOC_434_1LI4                       0.7139
C06908622                      NOC_434_1LI4                       0.5462
C53066576                      NOC_434_1LI4                       0.6538
C40521916                      NOC_434_1LI4                       0.6240
C19022904                      NOC_434_1LI4                       0.7325
C64215379                      NOC_434_1LI4                       0.6861
C56087295                      NOC_434_1LI4                       0.6572
C06529002                      NOC_434_1LI4                       0.7032
C54337145                      NOC_434_1LI4                       0.5684
C40362585                      NOC_434_1LI4                       0.4102
C12323473                      NOC_434_1LI4                       0.6737
C58234526                      NOC_434_1LI4                       0.7492
C40321032                      NOC_434_1LI4                       0.6835
C57340215                      NOC_434_1LI4                       0.6165
C52764168                      NOC_434_1LI4                       0.5895
C49144632                      NOC_434_1LI4                       0.6972
C61888241                      NOC_434_1LI4                       0.6050
C49144610                      NOC_434_1LI4                       0.6796
galux-align: processed 108 molecules in 9.545446195s.
Average (per molecule): 88.383761ms.
