Query name                     Template name                       Score
C05829170                      NOC_434_1LI4                       0.7184
C45806251                      NOC_434_1LI4                       0.5981
C37338243                      NOC_434_1LI4                       0.6507
C06184832                      NOC_434_1LI4                       0.5505
C22633993                      NOC_434_1LI4                       0.6822
C42393382                      NOC_434_1LI4                       0.7156
C20294149                      NOC_434_1LI4                       0.4897
C41029306                      NOC_434_1LI4                       0.6028
C52096735                      NOC_434_1LI4                       0.6738
C15593545                      NOC_434_1LI4                       0.7257
C57330696                      NOC_434_1LI4                       0.6727
C37671040                      NOC_434_1LI4                       0.6642
C12651673                      NOC_434_1LI4                       0.6100
C64475380                      NOC_434_1LI4                       0.6830
C42431266                      NOC_434_1LI4                       0.6304
C36946913                      NOC_434_1LI4                       0.5684
C52791747                      NOC_434_1LI4                       0.7269
C56360026                      NOC_434_1LI4                       0.7443
C20254686                      NOC_434_1LI4                       0.6505
C62208493                      NOC_434_1LI4                       0.5140
C06057546                      NOC_434_1LI4                       0.6634
C36978725                      NOC_434_1LI4                       0.6221
C66098639                      NOC_434_1LI4                       0.7209
C48844515                      NOC_434_1LI4                       0.7230
C37456646                      NOC_434_1LI4                       0.6910
C62811852                      NOC_434_1LI4                       0.6178
C50754180                      NOC_434_1LI4                       0.7202
C38008953                      NOC_434_1LI4                       0.6813
C63767587                      NOC_434_1LI4                       0.4812
C40383669                      NOC_434_1LI4                       0.5252
C39162246                      NOC_434_1LI4                       0.6310
C67300790                      NOC_434_1LI4                       0.7611
C50397272                      NOC_434_1LI4                       0.6898
C03108112                      NOC_434_1LI4                       0.5940
C66056652                      NOC_434_1LI4                       0.6801
C58244381                      NOC_434_1LI4                       0.7275
C43047917                      NOC_434_1LI4                       0.6318
C03881121                      NOC_434_1LI4                       0.6520
C42476573                      NOC_434_1LI4                       0.5906
C40214750                      NOC_434_1LI4                       0.6926
C05829910                      NOC_434_1LI4                       0.6353
C05943845                      NOC_434_1LI4                       0.6328
C40578248                      NOC_434_1LI4                       0.6193
C35324465                      NOC_434_1LI4                       0.7248
C58293180                      NOC_434_1LI4                       0.5840
C48395833                      NOC_434_1LI4                       0.6285
C04205503                      NOC_434_1LI4                       0.6324
C48844198                      NOC_434_1LI4                       0.6336
C40558442                      NOC_434_1LI4                       0.6192
C20260423                      NOC_434_1LI4                       0.7170
C61714067                      NOC_434_1LI4                       0.6472
C40910094                      NOC_434_1LI4                       0.7094
C37486425                      NOC_434_1LI4                       0.5614
C30010065                      NOC_434_1LI4                       0.7619
C48847517                      NOC_434_1LI4                       0.6987
C20413390                      NOC_434_1LI4                       0.4796
C01055318                      NOC_434_1LI4                       0.4233
C42414839                      NOC_434_1LI4                       0.5575
C36265879                      NOC_434_1LI4                       0.6062
C62832567                      NOC_434_1LI4                       0.7574
C41034799                      NOC_434_1LI4                       0.6186
C39963157                      NOC_434_1LI4                       0.6775
C67535558                      NOC_434_1LI4                       0.7763
C49164649                      NOC_434_1LI4                       0.6967
C36677855                      NOC_434_1LI4                       0.5755
C42429299                      NOC_434_1LI4                       0.7319
C45166732                      NOC_434_1LI4                       0.7340
C37243876                      NOC_434_1LI4                       0.6900
C58429561                      NOC_434_1LI4                       0.6233
C43428507                      NOC_434_1LI4                       0.6123
C42430654                      NOC_434_1LI4                       0.5675
C13033427                      NOC_434_1LI4                       0.6726
C49468825                      NOC_434_1LI4                       0.6345
C40382174                      NOC_434_1LI4                       0.5855
C63173563                      NOC_434_1LI4                       0.6391
C18268287                      NOC_434_1LI4                       0.6916
C37572181                      NOC_434_1LI4                       0.6357
C02046904                      NOC_434_1LI4                       0.6017
C44927319                      NOC_434_1LI4                       0.5578
C42500557                      NOC_434_1LI4                       0.7200
C20423555                      NOC_434_1LI4                       0.7268
C51089029                      NOC_434_1LI4                       0.6827
C42590429                      NOC_434_1LI4                       0.5967
C21519709                      NOC_434_1LI4                       0.6774
C62843866                      NOC_434_1LI4                       0.5989
C38042637                      NOC_434_1LI4                       0.6171
C30946854                      NOC_434_1LI4                       0.6704
C45139293                      NOC_434_1LI4                       0.5750
C45953177                      NOC_434_1LI4                       0.6963
C36973269                      NOC_434_1LI4                       0.5765
C06786791                      NOC_434_1LI4                       0.6834
C44867100                      NOC_434_1LI4                       0.6013
C05242905                      NOC_434_1LI4                       0.6473
C62935146                      NOC_434_1LI4                       0.6368
C40806894                      NOC_434_1LI4                       0.6434
C37692854                      NOC_434_1LI4                       0.5544
C54432847                      NOC_434_1LI4                       0.7413
C43537771                      NOC_434_1LI4                       0.6094
C20422448                      NOC_434_1LI4                       0.5768
C61594097                      NOC_434_1LI4                       0.6663
C56075294                      NOC_434_1LI4                       0.6979
C08275469                      NOC_434_1LI4                       0.6294
C59883985                      NOC_434_1LI4                       0.6473
C40473770                      NOC_434_1LI4                       0.6512
C12672590                      NOC_434_1LI4                       0.7044
C60770328                      NOC_434_1LI4                       0.6420
C40768945                      NOC_434_1LI4                       0.5486
C35680590                      NOC_434_1LI4                       0.5844
galux-align: processed 108 molecules in 9.979502576s.
Average (per molecule): 92.40280175ms.
