Query name                     Template name                       Score
C20589528                      NOC_434_1LI4                       0.6426
C36745182                      NOC_434_1LI4                       0.6952
C40481870                      NOC_434_1LI4                       0.5785
C03647772                      NOC_434_1LI4                       0.5675
C51147722                      NOC_434_1LI4                       0.5839
C42420450                      NOC_434_1LI4                       0.5071
C06693942                      NOC_434_1LI4                       0.6696
C51147526                      NOC_434_1LI4                       0.6953
C44785842                      NOC_434_1LI4                       0.5867
C28807240                      NOC_434_1LI4                       0.6862
C62874473                      NOC_434_1LI4                       0.5700
C40924734                      NOC_434_1LI4                       0.5358
C24378110                      NOC_434_1LI4                       0.7095
C51122005                      NOC_434_1LI4                       0.6825
C44931209                      NOC_434_1LI4                       0.5163
C16046437                      NOC_434_1LI4                       0.6377
C47511994                      NOC_434_1LI4                       0.7046
C49432212                      NOC_434_1LI4                       0.6810
C31940427                      NOC_434_1LI4                       0.6407
C05009022                      NOC_434_1LI4                       0.5177
C42430645                      NOC_434_1LI4                       0.5645
C03954392                      NOC_434_1LI4                       0.5736
C62876622                      NOC_434_1LI4                       0.5850
C49467723                      NOC_434_1LI4                       0.5311
C02157976                      NOC_434_1LI4                       0.6335
C12956544                      NOC_434_1LI4                       0.6990
C50306650                      NOC_434_1LI4                       0.5908
C39464387                      NOC_434_1LI4                       0.7329
C17210928                      NOC_434_1LI4                       0.5653
C44838531                      NOC_434_1LI4                       0.5542
C40736664                      NOC_434_1LI4                       0.6758
C12403369                      NOC_434_1LI4                       0.7023
C52048347                      NOC_434_1LI4                       0.5811
C16378908                      NOC_434_1LI4                       0.5787
C22056143                      NOC_434_1LI4                       0.5582
C51120862                      NOC_434_1LI4                       0.6506
C44452679                      NOC_434_1LI4                       0.6518
C35763504                      NOC_434_1LI4                       0.5499
C45709433                      NOC_434_1LI4                       0.5812
C48444090                      NOC_434_1LI4                       0.7304
C22698592                      NOC_434_1LI4                       0.7086
C54155993                      NOC_434_1LI4                       0.5089
C48782977                      NOC_434_1LI4                       0.5969
C00368254                      NOC_434_1LI4                       0.6485
C61953268                      NOC_434_1LI4                       0.7026
C20757769                      NOC_434_1LI4                       0.7464
C00253310                      NOC_434_1LI4                       0.6157
C54343039                      NOC_434_1LI4                       0.5509
C48950135                      NOC_434_1LI4                       0.5836
C36875416                      NOC_434_1LI4                       0.7417
C58854393                      NOC_434_1LI4                       0.5432
C06057683                      NOC_434_1LI4                       0.7180
C37429894                      NOC_434_1LI4                       0.6742
C24494543                      NOC_434_1LI4                       0.6159
C58279519                      NOC_434_1LI4                       0.7615
C40833430                      NOC_434_1LI4                       0.6650
C62053656                      NOC_434_1LI4                       0.6833
C49182763                      NOC_434_1LI4                       0.5806
C43078723                      NOC_434_1LI4                       0.7976
C02226436                      NOC_434_1LI4                       0.6794
C54002472                      NOC_434_1LI4                       0.6867
C37838128                      NOC_434_1LI4                       0.5926
C20422637                      NOC_434_1LI4                       0.6899
C63386358                      NOC_434_1LI4                       0.5884
C43674060                      NOC_434_1LI4                       0.5224
C06387891                      NOC_434_1LI4                       0.4771
C51147719                      NOC_434_1LI4                       0.6631
C49548282                      NOC_434_1LI4                       0.6396
C08503869                      NOC_434_1LI4                       0.6093
C57029748                      NOC_434_1LI4                       0.6988
C39299712                      NOC_434_1LI4                       0.6190
C37745178                      NOC_434_1LI4                       0.5831
C65833041                      NOC_434_1LI4                       0.6836
C48843558                      NOC_434_1LI4                       0.5977
C09457078                      NOC_434_1LI4                       0.6115
C06514411                      NOC_434_1LI4                       0.6517
C54026091                      NOC_434_1LI4                       0.7744
C24480663                      NOC_434_1LI4                       0.6331
C63050457                      NOC_434_1LI4                       0.6750
C40582719                      NOC_434_1LI4                       0.5694
C40369659                      NOC_434_1LI4                       0.6429
C66442761                      NOC_434_1LI4                       0.7036
C50251051                      NOC_434_1LI4                       0.7174
C20257246                      NOC_434_1LI4                       0.5007
C50655805                      NOC_434_1LI4                       0.6107
C55892632                      NOC_434_1LI4                       0.6680
C36817955                      NOC_434_1LI4                       0.5853
C66842107                      NOC_434_1LI4                       0.6911
C44887673                      NOC_434_1LI4                       0.6548
C44510240                      NOC_434_1LI4                       0.7224
C67314420                      NOC_434_1LI4                       0.6927
C50394780                      NOC_434_1LI4                       0.7462
C13658415                      NOC_434_1LI4                       0.6000
C65370152                      NOC_434_1LI4                       0.6435
C58457203                      NOC_434_1LI4                       0.7056
C40288146                      NOC_434_1LI4                       0.6911
C02605063                      NOC_434_1LI4                       0.5938
C50770200                      NOC_434_1LI4                       0.6604
C44791427                      NOC_434_1LI4                       0.5813
C67268643                      NOC_434_1LI4                       0.7249
C41631291                      NOC_434_1LI4                       0.6887
C40214542                      NOC_434_1LI4                       0.6749
C19973922                      NOC_434_1LI4                       0.5215
C40486827                      NOC_434_1LI4                       0.6808
C40328225                      NOC_434_1LI4                       0.5930
C53105836                      NOC_434_1LI4                       0.6762
C48251381                      NOC_434_1LI4                       0.5366
C40376603                      NOC_434_1LI4                       0.5689
galux-align: processed 108 molecules in 10.162404764s.
Average (per molecule): 94.0963405ms.
