Query name                     Template name                       Score
C12501079                      NOC_434_1LI4                       0.6223
C44022696                      NOC_434_1LI4                       0.6712
C19258413                      NOC_434_1LI4                       0.6437
C52764179                      NOC_434_1LI4                       0.6154
C49150689                      NOC_434_1LI4                       0.7251
C06887352                      NOC_434_1LI4                       0.6968
C64411370                      NOC_434_1LI4                       0.6700
C03072969                      NOC_434_1LI4                       0.5375
C34959314                      NOC_434_1LI4                       0.5643
C62162090                      NOC_434_1LI4                       0.6737
C48277912                      NOC_434_1LI4                       0.7136
C35383817                      NOC_434_1LI4                       0.6717
C59952006                      NOC_434_1LI4                       0.6890
C49449825                      NOC_434_1LI4                       0.6584
C14854755                      NOC_434_1LI4                       0.6644
C66740501                      NOC_434_1LI4                       0.7248
C35795007                      NOC_434_1LI4                       0.4455
C36829047                      NOC_434_1LI4                       0.5564
C64292230                      NOC_434_1LI4                       0.6944
C49776857                      NOC_434_1LI4                       0.5786
C37013852                      NOC_434_1LI4                       0.6087
C62775382                      NOC_434_1LI4                       0.6450
C04137026                      NOC_434_1LI4                       0.6725
C22234016                      NOC_434_1LI4                       0.6846
C67102478                      NOC_434_1LI4                       0.5878
C38540288                      NOC_434_1LI4                       0.5007
C37437859                      NOC_434_1LI4                       0.6548
C65920317                      NOC_434_1LI4                       0.6699
C00501803                      NOC_434_1LI4                       0.6260
C37744849                      NOC_434_1LI4                       0.5723
C66002170                      NOC_434_1LI4                       0.6158
C03451391                      NOC_434_1LI4                       0.6078
C35697749                      NOC_434_1LI4                       0.6972
C01446476                      NOC_434_1LI4                       0.5893
C40315949                      NOC_434_1LI4                       0.5863
C06781165                      NOC_434_1LI4                       0.6301
C02973261                      NOC_434_1LI4                       0.6927
C51090472                      NOC_434_1LI4                       0.6888
C40532165                      NOC_434_1LI4                       0.5363
C35345157                      NOC_434_1LI4                       0.5343
C44382199                      NOC_434_1LI4                       0.6713
C44076315                      NOC_434_1LI4                       0.7373
C02147510                      NOC_434_1LI4                       0.5843
C42393223                      NOC_434_1LI4                       0.6447
C39783562                      NOC_434_1LI4                       0.6793
C07737608                      NOC_434_1LI4                       0.7406
C53068058                      NOC_434_1LI4                       0.6381
C40590373                      NOC_434_1LI4                       0.6144
C36929597                      NOC_434_1LI4                       0.6542
C63839881                      NOC_434_1LI4                       0.6955
C46545062                      NOC_434_1LI4                       0.7408
C02045095                      NOC_434_1LI4                       0.5816
C45091574                      NOC_434_1LI4                       0.5506
C41037984                      NOC_434_1LI4                       0.6056
C15553208                      NOC_434_1LI4                       0.7188
C61916698                      NOC_434_1LI4                       0.7082
C41044717                      NOC_434_1LI4                       0.5847
C40371756                      NOC_434_1LI4                       0.6604
C66134302                      NOC_434_1LI4                       0.6602
C50360155                      NOC_434_1LI4                       0.7026
C12336476                      NOC_434_1LI4                       0.4962
C58037999                      NOC_434_1LI4                       0.5064
C42870590                      NOC_434_1LI4                       0.6449
C32745204                      NOC_434_1LI4                       0.6728
C62947083                      NOC_434_1LI4                       0.7255
C42575930                      NOC_434_1LI4                       0.6189
C42420368                      NOC_434_1LI4                       0.5614
C03898953                      NOC_434_1LI4                       0.6916
C58530060                      NOC_434_1LI4                       0.6619
C22064093                      NOC_434_1LI4                       0.6879
C17298998                      NOC_434_1LI4                       0.4252
C48858725                      NOC_434_1LI4                       0.6425
C36357360                      NOC_434_1LI4                       0.6890
C04369529                      NOC_434_1LI4                       0.6609
C44882233                      NOC_434_1LI4                       0.5993
C44927785                      NOC_434_1LI4                       0.6473
C16489252                      NOC_434_1LI4                       0.7091
C62159040                      NOC_434_1LI4                       0.6828
C35764519                      NOC_434_1LI4                       0.6683
C09970465                      NOC_434_1LI4                       0.5086
C50398428                      NOC_434_1LI4                       0.6372
C41920917                      NOC_434_1LI4                       0.6327
C21523270                      NOC_434_1LI4                       0.6853
C48372285                      NOC_434_1LI4                       0.6054
C48695523                      NOC_434_1LI4                       0.6307
C40111044                      NOC_434_1LI4                       0.7207
C63432885                      NOC_434_1LI4                       0.6620
C36906058                      NOC_434_1LI4                       0.6038
C17421161                      NOC_434_1LI4                       0.4905
C59371981                      NOC_434_1LI4                       0.7011
C46501782                      NOC_434_1LI4                       0.6932
C37745281                      NOC_434_1LI4                       0.6762
C49947131                      NOC_434_1LI4                       0.6522
C50251261                      NOC_434_1LI4                       0.6424
C42948244                      NOC_434_1LI4                       0.6343
C65570079                      NOC_434_1LI4                       0.7185
C40413280                      NOC_434_1LI4                       0.6558
C36332532                      NOC_434_1LI4                       0.6896
C63008940                      NOC_434_1LI4                       0.6564
C40481985                      NOC_434_1LI4                       0.6086
C37400281                      NOC_434_1LI4                       0.4764
C51147713                      NOC_434_1LI4                       0.6734
C45332725                      NOC_434_1LI4                       0.5404
C40338372                      NOC_434_1LI4                       0.6405
C65623348                      NOC_434_1LI4                       0.6912
C33957513                      NOC_434_1LI4                       0.6788
C18175328                      NOC_434_1LI4                       0.7533
C42074026                      NOC_434_1LI4                       0.7293
galux-align: processed 108 molecules in 9.034587405s.
Average (per molecule): 83.653587ms.
