Query name                     Template name                       Score
C61712751                      NOC_434_1LI4                       0.6497
C48578285                      NOC_434_1LI4                       0.6954
C40481550                      NOC_434_1LI4                       0.6005
C09014217                      NOC_434_1LI4                       0.7282
C41036607                      NOC_434_1LI4                       0.5590
C42430387                      NOC_434_1LI4                       0.5386
C62778483                      NOC_434_1LI4                       0.6600
C50457825                      NOC_434_1LI4                       0.4863
C35455385                      NOC_434_1LI4                       0.6444
C00037347                      NOC_434_1LI4                       0.6506
C49165239                      NOC_434_1LI4                       0.5697
C42429643                      NOC_434_1LI4                       0.5826
C06008413                      NOC_434_1LI4                       0.6618
C41759993                      NOC_434_1LI4                       0.5806
C47962681                      NOC_434_1LI4                       0.5462
C05748759                      NOC_434_1LI4                       0.5851
C51859334                      NOC_434_1LI4                       0.5574
C40216040                      NOC_434_1LI4                       0.6400
C05617970                      NOC_434_1LI4                       0.6966
C50244366                      NOC_434_1LI4                       0.6583
C44977203                      NOC_434_1LI4                       0.7110
C32603999                      NOC_434_1LI4                       0.7054
C41805055                      NOC_434_1LI4                       0.5334
C49425696                      NOC_434_1LI4                       0.6214
C06566417                      NOC_434_1LI4                       0.6992
C42040317                      NOC_434_1LI4                       0.6151
C44785682                      NOC_434_1LI4                       0.5565
C06764369                      NOC_434_1LI4                       0.5949
C42100898                      NOC_434_1LI4                       0.7034
C48835327                      NOC_434_1LI4                       0.6094
C36724256                      NOC_434_1LI4                       0.5278
C42430660                      NOC_434_1LI4                       0.5979
C52833881                      NOC_434_1LI4                       0.5150
C29150657                      NOC_434_1LI4                       0.6768
C61918905                      NOC_434_1LI4                       0.5401
C50244421                      NOC_434_1LI4                       0.6392
C09013172                      NOC_434_1LI4                       0.6763
C06317471                      NOC_434_1LI4                       0.6681
C49355244                      NOC_434_1LI4                       0.7108
C38541253                      NOC_434_1LI4                       0.5639
C42119103                      NOC_434_1LI4                       0.6563
C55171096                      NOC_434_1LI4                       0.6113
C36165389                      NOC_434_1LI4                       0.6863
C62960583                      NOC_434_1LI4                       0.6110
C50251170                      NOC_434_1LI4                       0.6181
C39211221                      NOC_434_1LI4                       0.6687
C09256479                      NOC_434_1LI4                       0.7551
C50251348                      NOC_434_1LI4                       0.6496
C40558451                      NOC_434_1LI4                       0.5942
C00293892                      NOC_434_1LI4                       0.6465
C32782017                      NOC_434_1LI4                       0.6591
C05183942                      NOC_434_1LI4                       0.6211
C02994274                      NOC_434_1LI4                       0.6350
C51040241                      NOC_434_1LI4                       0.6094
C40378602                      NOC_434_1LI4                       0.6598
C12753746                      NOC_434_1LI4                       0.6956
C36998643                      NOC_434_1LI4                       0.7339
C42575461                      NOC_434_1LI4                       0.6000
C20217158                      NOC_434_1LI4                       0.6931
C61714092                      NOC_434_1LI4                       0.6423
C44528498                      NOC_434_1LI4                       0.6098
C17379514                      NOC_434_1LI4                       0.6445
C50394781                      NOC_434_1LI4                       0.7552
C47651406                      NOC_434_1LI4                       0.6842
C22201560                      NOC_434_1LI4                       0.7055
C61888067                      NOC_434_1LI4                       0.5252
C44931638                      NOC_434_1LI4                       0.6656
C34940175                      NOC_434_1LI4                       0.5737
C62810517                      NOC_434_1LI4                       0.6290
C44882749                      NOC_434_1LI4                       0.5969
C35137581                      NOC_434_1LI4                       0.6799
C63209869                      NOC_434_1LI4                       0.6870
C48919196                      NOC_434_1LI4                       0.6433
C17196107                      NOC_434_1LI4                       0.6566
C63020190                      NOC_434_1LI4                       0.6103
C49103717                      NOC_434_1LI4                       0.6114
C36948262                      NOC_434_1LI4                       0.5945
C34198910                      NOC_434_1LI4                       0.4209
C47320929                      NOC_434_1LI4                       0.5770
C37372434                      NOC_434_1LI4                       0.5177
C03209508                      NOC_434_1LI4                       0.5214
C49520465                      NOC_434_1LI4                       0.7127
C07779197                      NOC_434_1LI4                       0.7185
C67526560                      NOC_434_1LI4                       0.7289
C52011814                      NOC_434_1LI4                       0.6432
C40168036                      NOC_434_1LI4                       0.4727
C11635276                      NOC_434_1LI4                       0.5170
C50324065                      NOC_434_1LI4                       0.6450
C39094546                      NOC_434_1LI4                       0.5032
C35297529                      NOC_434_1LI4                       0.5774
C51121465                      NOC_434_1LI4                       0.6979
C47437080                      NOC_434_1LI4                       0.6934
C03160848                      NOC_434_1LI4                       0.4844
C20274593                      NOC_434_1LI4                       0.5325
C40471393                      NOC_434_1LI4                       0.5890
C04249556                      NOC_434_1LI4                       0.5601
C53110037                      NOC_434_1LI4                       0.6182
C40558377                      NOC_434_1LI4                       0.6227
C26913888                      NOC_434_1LI4                       0.7132
C50650064                      NOC_434_1LI4                       0.6065
C40377086                      NOC_434_1LI4                       0.6262
C05383182                      NOC_434_1LI4                       0.6767
C14138072                      NOC_434_1LI4                       0.6936
C20293690                      NOC_434_1LI4                       0.6648
C05497413                      NOC_434_1LI4                       0.5588
C59791155                      NOC_434_1LI4                       0.6878
C40378120                      NOC_434_1LI4                       0.6835
galux-align: processed 107 molecules in 8.648903355s.
Average (per molecule): 80.8308725ms.
