name,gscreen_pistacking0,gscreen_hydrogenbonding0,gscreen_hydrogenbonding1,gscreen_hydrogenbonding2,gscreen_hydrogenbonding3,gscreen_hydrogenbonding4,gscreen_hydrogenbonding5,gscreen_hydrogenbonding6,gscreen_hydrogenbonding7,gscreen_hydrogenbonding8,gscreen_hydrogenbonding9,pharma_score,shape_score,tani_sim
C61685018,0,1,1,1,0,0,0,1,1,0,0,0.4545454545454546,0.6596,0.07228915662650602
C20469916,1,0,0,0,0,0,1,1,2,0,0,0.4545454545454546,0.697,0.09574468085106383
C50162629,0,1,1,1,0,0,0,0,0,1,0,0.36363636363636365,0.6676,0.08888888888888889
C08653162,1,0,0,0,1,0,0,1,0,0,1,0.36363636363636365,0.7037,0.08235294117647059
C49087302,0,0,1,1,0,0,0,1,0,1,0,0.36363636363636365,0.5594,0.038461538461538464
C03520129,0,0,1,0,0,0,0,1,1,1,0,0.36363636363636365,0.7323,0.07446808510638298
C50244608,0,0,1,1,0,0,0,1,1,0,0,0.36363636363636365,0.5982,0.04938271604938271
C00133122,1,1,0,1,0,0,0,0,0,1,0,0.36363636363636365,0.5577,0.056338028169014086
C62923863,0,0,0,1,0,0,0,1,1,0,0,0.2727272727272727,0.6283,0.06741573033707865
C06185553,0,0,0,0,1,0,0,1,1,0,0,0.2727272727272727,0.5807,0.1
C40687647,0,0,0,0,0,0,0,1,1,1,0,0.2727272727272727,0.6336,0.1111111111111111
C42162138,1,0,0,0,0,0,0,0,0,1,1,0.2727272727272727,0.6104,0.0975609756097561
C61887323,0,0,0,0,1,0,0,0,0,1,1,0.2727272727272727,0.6591,0.06896551724137931
C44927432,1,0,0,1,0,0,0,0,0,1,0,0.2727272727272727,0.6465,0.0898876404494382
C62926028,0,0,0,0,0,0,0,1,1,0,1,0.2727272727272727,0.5782,0.047619047619047616
C64874598,1,0,0,0,0,1,0,0,0,1,0,0.2727272727272727,0.6482,0.05747126436781609
C49477092,0,0,0,1,0,0,0,1,0,1,0,0.2727272727272727,0.6753,0.04938271604938271
C51986641,1,0,0,0,0,0,0,0,0,2,0,0.2727272727272727,0.6749,0.07228915662650602
C48960838,0,0,0,1,0,0,0,0,0,1,1,0.2727272727272727,0.5918,0.08536585365853659
C51121000,1,0,1,1,0,0,0,0,0,0,0,0.2727272727272727,0.7039,0.10112359550561797
C40304885,0,1,1,1,0,0,0,0,0,0,0,0.2727272727272727,0.76,0.11538461538461539
C42429930,0,0,0,1,0,0,0,1,1,0,0,0.2727272727272727,0.576,0.05405405405405406
C16713487,0,0,0,0,0,1,0,1,0,0,1,0.2727272727272727,0.6156,0.05333333333333334
C54155984,0,0,0,0,1,1,0,0,0,0,1,0.2727272727272727,0.4736,0.05333333333333334
C40470605,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.5511,0.0963855421686747
C41098087,1,0,0,0,0,0,0,1,0,0,0,0.18181818181818182,0.6885,0.1
C62100422,1,0,0,0,0,0,0,0,1,0,0,0.18181818181818182,0.6611,0.09876543209876543
C35455377,0,0,1,0,0,0,0,0,0,0,1,0.18181818181818182,0.6613,0.10843373493975904
C49129184,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.5997,0.05333333333333334
C42425070,0,0,0,1,0,0,0,0,1,0,0,0.18181818181818182,0.6043,0.06976744186046512
C39096122,1,0,1,0,0,0,0,0,0,0,0,0.18181818181818182,0.5546,0.11538461538461539
C42431109,0,0,0,1,0,0,0,0,0,1,0,0.18181818181818182,0.6262,0.047058823529411764
C49425694,1,0,0,0,0,0,0,0,0,0,1,0.18181818181818182,0.6334,0.07058823529411765
C06512316,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.6992,0.09523809523809523
C57312285,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.5477,0.04938271604938271
C25854051,0,0,0,0,0,1,0,0,0,1,0,0.18181818181818182,0.6029,0.06756756756756757
C49469530,0,0,0,0,1,0,0,0,0,1,0,0.18181818181818182,0.6948,0.09876543209876543
C35453628,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.6317,0.09523809523809523
C08653124,1,0,0,0,0,0,0,0,0,0,1,0.18181818181818182,0.7015,0.08433734939759036
C00580944,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.5665,0.05405405405405406
C40329219,0,0,0,0,0,0,0,0,1,0,1,0.18181818181818182,0.6571,0.09876543209876543
C36998498,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.7669,0.11235955056179775
C61685094,1,0,0,0,0,0,0,0,0,0,1,0.18181818181818182,0.5988,0.1111111111111111
C46694912,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.6876,0.056818181818181816
C62243084,0,0,0,1,0,0,0,0,0,1,0,0.18181818181818182,0.5659,0.0759493670886076
C37561122,1,0,0,0,0,0,1,0,0,0,0,0.18181818181818182,0.6022,0.06896551724137931
C65525855,0,0,0,0,1,0,0,1,0,0,0,0.18181818181818182,0.7441,0.06315789473684211
C04201781,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.6403,0.0641025641025641
C02787471,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.6097,0.06756756756756757
C05743114,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.4499,0.05405405405405406
C51121705,0,0,0,0,0,0,0,1,0,1,0,0.18181818181818182,0.6449,0.07142857142857142
C36722803,1,0,0,0,0,0,0,0,0,1,0,0.18181818181818182,0.6882,0.06097560975609756
C64427679,1,0,0,0,0,0,0,0,1,0,0,0.18181818181818182,0.665,0.056818181818181816
C56917396,0,0,0,0,0,0,0,1,1,0,0,0.18181818181818182,0.7333,0.041666666666666664
C40329449,0,0,1,0,0,0,0,1,0,0,0,0.18181818181818182,0.6516,0.08860759493670886
C50397470,0,0,0,0,0,0,0,0,0,1,1,0.18181818181818182,0.5545,0.0759493670886076
C41036571,0,0,0,0,0,0,0,0,0,0,1,0.09090909090909091,0.5491,0.03529411764705882
C49816882,0,0,0,0,0,0,0,0,1,0,0,0.09090909090909091,0.6024,0.06097560975609756
C67044253,0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.6124,0.07608695652173914
C19754363,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.5545,0.056818181818181816
C05024942,0,0,0,0,1,0,0,0,0,0,0,0.09090909090909091,0.5439,0.07792207792207792
C51152066,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.6623,0.075
C37744352,0,0,1,0,0,0,0,0,0,0,0,0.09090909090909091,0.5688,0.07894736842105263
C01269312,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.6742,0.09411764705882353
C42430331,0,0,0,0,0,0,0,1,0,0,0,0.09090909090909091,0.5738,0.060240963855421686
C40453592,0,0,0,0,0,0,0,1,0,0,0,0.09090909090909091,0.7181,0.08641975308641975
C48494236,0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.6676,0.07407407407407407
C36390472,0,0,0,0,0,0,1,0,0,0,0,0.09090909090909091,0.7027,0.08235294117647059
C42350044,0,0,0,0,0,0,0,1,0,0,0,0.09090909090909091,0.5837,0.05
C61918904,0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.4787,0.05263157894736842
C38033754,0,0,0,0,0,0,0,0,1,0,0,0.09090909090909091,0.7005,0.07228915662650602
C54343018,0,0,0,0,0,0,0,0,0,0,1,0.09090909090909091,0.5406,0.0375
C62916276,0,0,0,0,0,0,0,0,1,0,0,0.09090909090909091,0.5341,0.0375
C40411628,0,0,0,0,0,0,0,1,0,0,0,0.09090909090909091,0.6674,0.08045977011494253
C67641443,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.6012,0.06315789473684211
C16954439,0,0,0,0,0,1,0,0,0,0,0,0.09090909090909091,0.4945,0.046875
C19971661,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.6333,0.0875
C04729309,0,0,0,0,0,0,0,0,0,1,0,0.09090909090909091,0.5739,0.0641025641025641
C50394779,0,0,1,0,0,0,0,0,0,0,0,0.09090909090909091,0.7383,0.07142857142857142
C34924845,0,0,0,0,0,1,0,0,0,0,0,0.09090909090909091,0.6393,0.06578947368421052
C44877699,0,0,0,0,0,0,1,0,0,0,0,0.09090909090909091,0.5525,0.07058823529411765
C34977284,1,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.5495,0.06666666666666667
C48890291,0,0,0,1,0,0,0,0,0,0,0,0.09090909090909091,0.6312,0.06578947368421052
C35301049,0,0,0,0,0,1,0,0,0,0,0,0.09090909090909091,0.7011,0.06521739130434782
C44987977,0,0,0,0,0,0,0,1,0,0,0,0.09090909090909091,0.6927,0.10344827586206896
C46088732,0,0,0,0,0,1,0,0,0,0,0,0.09090909090909091,0.6404,0.07317073170731707
C04073009,0,0,0,0,0,0,1,0,0,0,0,0.09090909090909091,0.5891,0.075
C43841131,0,0,0,0,0,0,0,0,1,0,0,0.09090909090909091,0.5518,0.06172839506172839
C07141081,0,0,0,0,0,0,0,0,0,0,1,0.09090909090909091,0.7126,0.09782608695652174
C54492890,0,0,0,0,1,0,0,0,0,0,0,0.09090909090909091,0.5498,0.05
C41036715,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5838,0.03571428571428571
C03124186,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6223,0.06451612903225806
C49776713,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5367,0.0625
C41804901,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5907,0.0641025641025641
C50244641,0,0,0,0,0,0,0,0,0,0,0,0.0,0.653,0.07058823529411765
C37841935,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6187,0.0898876404494382
C50398007,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7577,0.08045977011494253
C12414008,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6824,0.05555555555555555
C42414223,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6231,0.0975609756097561
C62947180,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7013,0.07407407407407407
C48968061,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6294,0.06818181818181818
C36948218,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5837,0.05555555555555555
C36948200,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6324,0.07792207792207792
C00510360,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6009,0.05813953488372093
C35297006,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6078,0.060240963855421686
C39558834,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7054,0.06451612903225806
C58408223,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7051,0.06060606060606061
C49358224,0,0,0,0,0,0,0,0,0,0,0,0.0,0.709,0.07407407407407407
